Datetime,Symbol,Contract_month,Open,High,Low,Close,Volume
2018-11-21T04:00:00.000000Z,NQ,2018-12,6601.25,6653.0,6563.5,6643.0,59781.0
2018-11-21T08:00:00.000000Z,NQ,2018-12,6614.0,6700.0,6571.0,6622.75,293662.0
2018-11-21T12:00:00.000000Z,NQ,2018-12,6623.0,6666.0,6582.75,6613.25,132018.0
2018-11-21T16:00:00.000000Z,NQ,2018-12,6583.25,6638.75,6574.5,6592.75,16540.0
2018-11-21T20:00:00.000000Z,NQ,2018-12,6593.25,6628.25,6561.25,6613.75,9670.0
2018-11-22T00:00:00.000000Z,NQ,2018-12,6582.5,6643.5,6547.0,6552.0,14667.0
2018-11-22T04:00:00.000000Z,NQ,2018-12,6551.75,6589.75,6532.0,6556.75,26627.0
2018-11-22T08:00:00.000000Z,NQ,2018-12,6557.25,6582.0,6506.5,6529.0,34511.0
2018-11-22T12:00:00.000000Z,NQ,2018-12,6529.0,6561.75,6519.25,6553.0,3838.0
2018-11-22T16:00:00.000000Z,NQ,2018-12,6525.0,6605.0,6522.5,6553.25,5030.0
2018-11-22T20:00:00.000000Z,NQ,2018-12,6553.5,6597.25,6537.0,6574.0,8002.0
2018-11-23T00:00:00.000000Z,NQ,2018-12,6543.0,6589.25,6518.25,6552.5,20718.0
2018-11-23T04:00:00.000000Z,NQ,2018-12,6552.5,6588.0,6531.0,6550.25,22935.0
2018-11-23T08:00:00.000000Z,NQ,2018-12,6550.5,6635.0,6495.0,6545.75,170185.0
2018-11-23T12:00:00.000000Z,NQ,2018-12,6545.75,6608.0,6522.0,6560.5,42189.0
2018-11-25T16:00:00.000000Z,NQ,2018-12,6537.5,6616.0,6530.5,6553.25,13071.0
2018-11-25T20:00:00.000000Z,NQ,2018-12,6552.75,6620.0,6551.25,6574.75,15009.0
2018-11-26T00:00:00.000000Z,NQ,2018-12,6574.5,6673.5,6570.25,6664.75,29196.0
2018-11-26T04:00:00.000000Z,NQ,2018-12,6638.0,6682.25,6629.0,6660.25,28895.0
2018-11-26T08:00:00.000000Z,NQ,2018-12,6632.25,6720.0,6598.75,6633.5,222284.0
2018-11-26T12:00:00.000000Z,NQ,2018-12,6633.5,6738.0,6596.25,6714.5,174449.0
2018-11-26T16:00:00.000000Z,NQ,2018-12,6685.0,6750.0,6627.5,6628.0,30339.0
2018-11-26T20:00:00.000000Z,NQ,2018-12,6627.75,6720.0,6623.75,6666.75,17727.0
2018-11-27T00:00:00.000000Z,NQ,2018-12,6666.25,6740.0,6632.5,6658.0,36532.0
2018-11-27T04:00:00.000000Z,NQ,2018-12,6658.5,6703.0,6622.25,6627.5,34315.0
2018-11-27T08:00:00.000000Z,NQ,2018-12,6627.25,6780.0,6613.25,6735.2496,269191.0
2018-11-27T12:00:00.000000Z,NQ,2018-12,6707.0,6747.0,6661.5,6732.0,196490.0
2018-11-27T16:00:00.000000Z,NQ,2018-12,6707.0,6762.0,6702.5,6723.2496,16408.0
2018-11-27T20:00:00.000000Z,NQ,2018-12,6723.0,6759.7504,6709.25,6727.2496,12730.0
2018-11-28T00:00:00.000000Z,NQ,2018-12,6727.0,6773.0,6711.5,6724.0,18291.0
2018-11-28T04:00:00.000000Z,NQ,2018-12,6723.7504,6784.2496,6716.0,6781.5,32118.0
2018-11-28T08:00:00.000000Z,NQ,2018-12,6751.5,6791.0,6716.5,6773.7504,231346.0
2018-11-28T12:00:00.000000Z,NQ,2018-12,6743.0,6950.0,6741.5,6950.0,312308.0
2018-11-28T16:00:00.000000Z,NQ,2018-12,6920.0,6947.7504,6903.5,6908.0,21755.0
2018-11-28T20:00:00.000000Z,NQ,2018-12,6907.5,6938.7504,6894.0,6909.5,13358.0
2018-11-29T00:00:00.000000Z,NQ,2018-12,6909.5,6933.2496,6888.2496,6897.2496,17290.0
2018-11-29T04:00:00.000000Z,NQ,2018-12,6897.5,6920.0,6866.0,6905.5,30383.0
2018-11-29T08:00:00.000000Z,NQ,2018-12,6877.5,6938.2496,6843.0,6892.2496,280150.0
2018-11-29T12:00:00.000000Z,NQ,2018-12,6892.0,6990.0,6875.2496,6926.0,167786.0
2018-11-29T16:00:00.000000Z,NQ,2018-12,6898.7504,6943.0,6893.5,6902.5,15658.0
2018-11-29T20:00:00.000000Z,NQ,2018-12,6902.0,6942.5,6894.5,6911.2496,10927.0
2018-11-30T00:00:00.000000Z,NQ,2018-12,6911.5,6941.0,6888.7504,6893.0,11935.0
2018-11-30T04:00:00.000000Z,NQ,2018-12,6893.0,6923.2496,6871.5,6885.0,19243.0
2018-11-30T08:00:00.000000Z,NQ,2018-12,6884.5,6980.0,6872.5,6946.7504,202812.0
2018-11-30T12:00:00.000000Z,NQ,2018-12,6914.0,6980.2496,6884.0,6979.0,211587.0
2018-11-30T16:00:00.000000Z,NQ,2018-12,6950.5,7018.0,6942.7504,6993.0,19904.0
2018-12-02T16:00:00.000000Z,NQ,2018-12,7041.0,7136.0,7040.5,7075.0,23009.0
2018-12-02T20:00:00.000000Z,NQ,2018-12,7074.7504,7144.0,7070.2496,7131.5,22352.0
2018-12-03T00:00:00.000000Z,NQ,2018-12,7102.5,7187.5,7095.0,7157.7504,27577.0
2018-12-03T04:00:00.000000Z,NQ,2018-12,7128.2496,7162.0,7094.0,7103.0,26761.0
2018-12-03T08:00:00.000000Z,NQ,2018-12,7103.0,7140.0,7025.7504,7061.0,266275.0
2018-12-03T12:00:00.000000Z,NQ,2018-12,7030.2496,7096.7504,7015.2496,7089.0,192040.0
