Entry_Time,Side,Entry,Initial_SL,Qty,Capital_Start,Exit_Time,Exit,PnL
2010-04-15 21:30:00+00:00,SELL,2025.25,2034.8773303551102,1.0,99919.9475909663,2010-04-15 22:30:00+00:00,2023.5,1.75
2010-04-16 04:30:00+00:00,BUY,2030.75,2023.1068584291143,1.0,99921.6975909663,2010-04-16 05:30:00+00:00,2030.5,-0.25
2010-04-16 09:30:00+00:00,SELL,2024.25,2035.8779622396,1.0,99921.4475909663,2010-04-16 10:30:00+00:00,2031.5,-7.25
2010-04-16 10:30:00+00:00,SELL,2022.25,2041.031149414076,1.0,99914.1975909663,2010-04-19 10:00:00+00:00,2013.25,9.0
2010-04-19 10:00:00+00:00,BUY,2007.75,1991.9877042397195,1.0,99923.1975909663,2010-04-19 11:00:00+00:00,2003.0,-4.75
2010-04-20 03:00:00+00:00,BUY,2012.75,2005.0401185755022,1.0,99918.4475909663,2010-04-20 10:30:00+00:00,2008.75,-4.0
2010-04-20 12:00:00+00:00,BUY,2023.0,2006.011207040304,1.0,99914.4475909663,2010-04-20 13:00:00+00:00,2021.75,-1.25
2010-04-21 04:30:00+00:00,SELL,2033.25,2040.7292263672239,1.0,99913.1975909663,2010-04-21 05:30:00+00:00,2033.5,-0.25
2010-04-22 04:00:00+00:00,BUY,2028.5,2021.4023280819154,1.0,99912.9475909663,2010-04-22 05:00:00+00:00,2028.25,-0.25
2010-04-22 05:00:00+00:00,SELL,2019.25,2029.5753642536486,1.0,99912.6975909663,2010-04-22 11:00:00+00:00,2018.75,0.5
2010-04-22 13:30:00+00:00,BUY,2033.75,2009.948213971124,1.0,99913.1975909663,2010-04-26 10:00:00+00:00,2047.25,13.5
2010-04-26 10:00:00+00:00,SELL,2045.75,2059.683665082718,1.0,99926.6975909663,2010-04-27 11:00:00+00:00,2043.25,2.5
2010-04-28 03:00:00+00:00,BUY,2011.5,2001.0373262382943,1.0,99929.1975909663,2010-04-28 04:00:00+00:00,2008.5,-3.0
2010-04-28 07:00:00+00:00,BUY,2014.5,1998.3153277554084,1.0,99926.1975909663,2010-04-28 08:00:00+00:00,2016.0,1.5
2010-04-28 10:00:00+00:00,SELL,2002.0,2025.117878902338,1.0,99927.6975909663,2010-04-29 06:30:00+00:00,2016.0,-14.0
