Entry_Time,Exit_Time,Side,Entry,Exit,Contract,PnL,Equity
2011-11-15 16:00:00+00:00,2011-11-21 09:00:00+00:00,long,2364.0,2204.75,2011-12,-159.25,-774.25
2011-11-22 11:00:00+00:00,2011-11-28 09:00:00+00:00,short,2197.0,2221.5,2011-12,-24.5,-798.75
2011-11-30 12:00:00+00:00,2012-04-23 06:00:00+00:00,long,2285.0,2649.75,2011-12,364.75,-434.0
2012-05-03 19:00:00+00:00,2012-05-21 22:00:00+00:00,short,2694.5,2543.75,2012-06,150.75,-283.25
2012-05-28 02:00:00+00:00,2012-07-11 10:00:00+00:00,long,2547.75,2564.25,2012-06,16.5,-266.75
2012-07-17 21:00:00+00:00,2012-07-23 01:00:00+00:00,long,2586.0,2596.75,2012-09,10.75,-256.0
2012-07-31 02:00:00+00:00,2012-09-24 08:00:00+00:00,long,2647.25,2832.75,2012-09,185.5,-70.5
2012-09-25 22:00:00+00:00,2012-09-28 04:00:00+00:00,short,2804.25,2818.75,2012-12,-14.5,-85.0
2012-10-04 22:00:00+00:00,2012-10-08 03:00:00+00:00,long,2826.0,2792.0,2012-12,-34.0,-119.0
2012-10-10 21:00:00+00:00,2012-10-16 11:00:00+00:00,short,2723.25,2764.5,2012-12,-41.25,-160.25
2012-10-17 20:00:00+00:00,2012-10-19 06:00:00+00:00,long,2770.5,2725.5,2012-12,-45.0,-205.25
2012-10-23 07:00:00+00:00,2012-10-31 04:00:00+00:00,short,2659.5,2673.25,2012-12,-13.75,-219.0
2012-11-12 20:00:00+00:00,2012-11-19 06:00:00+00:00,short,2576.25,2550.25,2012-12,26.0,-193.0
2012-11-21 00:00:00+00:00,2013-01-24 02:00:00+00:00,long,2579.25,2712.0,2012-12,132.75,-60.25
2013-01-29 21:00:00+00:00,2013-02-21 05:00:00+00:00,long,2745.25,2723.5,2013-03,-21.75,-82.0
2013-02-25 21:00:00+00:00,2013-03-24 22:00:00+00:00,short,2708.0,2809.25,2013-03,-101.25,-183.25
2013-04-02 10:00:00+00:00,2013-04-05 08:00:00+00:00,long,2814.75,2748.0,2013-06,-66.75,-250.0
2013-04-09 22:00:00+00:00,2013-10-09 10:00:00+00:00,long,2796.5,3126.25,2013-06,329.75,79.75
2013-10-14 11:00:00+00:00,2014-03-27 08:00:00+00:00,long,3214.25,3569.5,2013-12,355.25,435.0
2014-03-27 22:00:00+00:00,2014-04-01 16:00:00+00:00,short,3557.75,3652.0,2014-06,-94.25,340.75
2014-04-03 01:00:00+00:00,2014-04-04 12:00:00+00:00,long,3657.75,3542.75,2014-06,-115.0,225.75
2014-04-13 22:00:00+00:00,2014-04-16 04:00:00+00:00,short,3441.25,3510.25,2014-06,-69.0,156.75
2014-04-17 09:00:00+00:00,2014-04-25 10:00:00+00:00,long,3512.75,3526.25,2014-06,13.5,170.25
2014-04-30 20:00:00+00:00,2014-09-26 08:00:00+00:00,long,3578.5,4003.5,2014-06,425.0,595.25
2014-09-29 09:00:00+00:00,2014-10-08 22:00:00+00:00,short,4002.25,4039.75,2014-12,-37.5,557.75
2014-10-13 23:00:00+00:00,2014-10-21 10:00:00+00:00,short,3822.5,3923.75,2014-12,-101.25,456.5
2014-10-24 09:00:00+00:00,2015-03-25 13:00:00+00:00,long,4001.25,4351.25,2014-12,350.0,806.5
2015-04-02 04:00:00+00:00,2015-04-06 12:00:00+00:00,short,4293.75,4346.25,2015-06,-52.5,754.0
2015-04-09 22:00:00+00:00,2015-07-27 03:00:00+00:00,long,4395.5,4537.75,2015-06,142.25,896.25
2015-07-30 20:00:00+00:00,2015-08-20 16:00:00+00:00,long,4589.5,4363.75,2015-09,-225.75,670.5
2015-08-25 02:00:00+00:00,2015-08-27 12:00:00+00:00,short,4034.75,4316.0,2015-09,-281.25,389.25
2015-09-15 15:00:00+00:00,2015-09-28 11:00:00+00:00,long,4369.75,4125.25,2015-12,-244.5,144.75
2015-09-29 21:00:00+00:00,2015-10-04 22:00:00+00:00,short,4085.25,4261.5,2015-12,-176.25,-31.5
2015-10-07 03:00:00+00:00,2015-11-13 15:00:00+00:00,long,4315.0,4498.75,2015-12,183.75,152.25
2015-11-18 10:00:00+00:00,2015-12-31 09:00:00+00:00,long,4591.75,4610.0,2015-12,18.25,170.5
2016-01-08 12:00:00+00:00,2016-02-17 22:00:00+00:00,short,4310.5,4207.75,2016-03,102.75,273.25
2016-03-03 02:00:00+00:00,2016-04-22 10:00:00+00:00,long,4338.5,4427.75,2016-06,89.25,362.5
2016-04-25 04:00:00+00:00,2016-05-24 16:00:00+00:00,short,4444.25,4445.75,2016-06,-1.5,361.0
2016-06-01 02:00:00+00:00,2016-06-24 00:00:00+00:00,long,4526.25,4234.5,2016-09,-291.75,69.25
2016-06-24 04:00:00+00:00,2016-06-29 07:00:00+00:00,short,4323.0,4312.25,2016-09,10.75,80.0
2016-07-08 01:00:00+00:00,2016-09-09 15:00:00+00:00,long,4444.5,4677.25,2016-09,232.75,312.75
2016-09-15 10:00:00+00:00,2016-10-11 13:00:00+00:00,long,4764.0,4809.5,2016-12,45.5,358.25
2016-10-20 21:00:00+00:00,2016-10-28 02:00:00+00:00,long,4842.75,4809.25,2016-12,-33.5,324.75
2016-10-30 21:00:00+00:00,2016-11-07 04:00:00+00:00,short,4797.5,4736.0,2016-12,61.5,386.25
2016-11-08 20:00:00+00:00,2016-11-08 22:00:00+00:00,long,4832.25,4586.0,2016-12,-246.25,140.0
2016-11-09 12:00:00+00:00,2016-11-11 04:00:00+00:00,long,4812.5,4694.75,2016-12,-117.75,22.25
2016-11-16 20:00:00+00:00,2016-12-01 01:00:00+00:00,long,4784.5,4810.0,2016-12,25.5,47.75
2016-12-04 20:00:00+00:00,2016-12-07 22:00:00+00:00,short,4717.75,4848.25,2017-03,-130.5,-82.75
2016-12-09 01:00:00+00:00,2016-12-29 00:00:00+00:00,long,4863.5,4923.5,2017-03,60.0,-22.75
2016-12-29 20:00:00+00:00,2017-01-06 04:00:00+00:00,short,4920.5,4961.0,2017-03,-40.5,-63.25
2017-01-10 09:00:00+00:00,2017-02-24 06:00:00+00:00,long,5021.5,5301.25,2017-03,279.75,216.5
2017-03-06 04:00:00+00:00,2017-04-24 04:00:00+00:00,short,5350.0,5506.0,2017-06,-156.0,60.5
2017-04-27 10:00:00+00:00,2017-05-17 16:00:00+00:00,long,5557.5,5576.5,2017-06,19.0,79.5
2017-05-22 15:00:00+00:00,2017-06-12 04:00:00+00:00,long,5697.25,5682.25,2017-06,-15.0,64.5
2017-06-22 21:00:00+00:00,2020-01-27 05:00:00+00:00,long,5792.75,8959.0,2017-09,3166.25,3230.75
2020-01-30 16:00:00+00:00,2020-02-24 05:00:00+00:00,long,9144.2496,9146.7504,2020-03,2.500800000001618,3233.2508000000016
2020-02-25 12:00:00+00:00,2020-04-06 11:00:00+00:00,short,9034.0,7889.5,2020-03,1144.5,4377.750800000002
2020-04-13 16:00:00+00:00,2020-07-14 08:00:00+00:00,long,8316.5,10510.7504,2020-06,2194.250400000001,6572.001200000002
2020-08-02 23:00:00+00:00,2020-09-03 14:00:00+00:00,long,10937.7504,11710.0,2020-09,772.2495999999992,7344.250800000002
2020-09-06 20:00:00+00:00,2020-09-28 01:00:00+00:00,short,11418.2496,11206.0,2020-12,212.2495999999992,7556.500400000001
2020-09-30 12:00:00+00:00,2020-11-10 05:00:00+00:00,long,11489.0,11562.0,2020-12,73.0,7629.500400000001
2020-11-13 07:00:00+00:00,2020-12-09 13:00:00+00:00,long,11900.0,12335.7504,2020-12,435.7504000000008,8065.250800000002
2020-12-11 07:00:00+00:00,2020-12-14 09:00:00+00:00,short,12302.0,12519.5,2021-03,-217.5,7847.750800000002
2020-12-15 07:00:00+00:00,2021-03-03 18:00:00+00:00,long,12501.2496,12600.0,2021-03,98.75040000000081,7946.501200000002
